Naziv,Cijena,Link,Izvor
HP 15-fc0002nm AMD Ryzen 5 7520U/512GB/16GB/15.6 FHD/Integrated/NoOS/Diamond white,595.6,https://pc-gamer.me/p/HP-15-fc0002nm-AMD-Ryzen-5-7520U-512GB-16GB-15-6-FHD-Integrated-NoOS-Diamond-white--111941,PC-Gamer
HP ProBook 455 G10 Ryzen 5-7530U 16GB 512GB,607.2,https://pc-gamer.me/p/HP-ProBook-455-G10-Ryzen-5-7530U-16GB-512GB--109721,PC-Gamer
Lenovo 83K20036YA,615.0,https://pc-gamer.me/p/Lenovo-83K20036YA--113145,PC-Gamer
Lenovo V17 G4 IRU 83A20023YA,620.0,https://pc-gamer.me/p/Lenovo-V17-G4-IRU-83A20023YA--112714,PC-Gamer
Lenovo IdeaPad Slim 3 15IRH10 i5-13420H/512GB/8GB Soldered/UHDGraphics/15.3inch WUXGA/bcklit YU/NoOS,621.5,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15IRH10-i5-13420H-512GB-8GB-Soldered-UHDGraphics-15-3inch-WUXGA-bcklit-YU-NoOS--112897,PC-Gamer
Lenovo IdeaPad Slim 3 15IRH8 83EM00EHYA,644.8,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15IRH8-83EM00EHYA--110521,PC-Gamer
Lenovo 83HR001SYA,653.8,https://pc-gamer.me/p/Lenovo-83HR001SYA--113147,PC-Gamer
Acer Aspire 3 A315-44P-R4VE,655.0,https://pc-gamer.me/p/Acer-Aspire-3-A315-44P-R4VE--112121,PC-Gamer
DELL Inspiron 3535 15.6 FHD AMD Ryzen 7 7730/16GB/1TB/120hz,686.2,https://pc-gamer.me/p/DELL-Inspiron-3535-15-6-FHD-AMD-Ryzen-7-7730-16GB-1TB-120hz--108084,PC-Gamer
HP 255 G10 9G1F9ET,690.0,https://pc-gamer.me/p/HP-255-G10-9G1F9ET--113181,PC-Gamer
Lenovo V15 G4 IRU Intel i7-1355U,691.3,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-Intel-i7-1355U--100556,PC-Gamer
HP ProBook 450 G10 i5-1334U 16GB,693.0,https://pc-gamer.me/p/HP-ProBook-450-G10-i5-1334U-16GB--109724,PC-Gamer
Lenovo V17 G4 IRU 83A2003KYA,699.0,https://pc-gamer.me/p/Lenovo-V17-G4-IRU-83A2003KYA--113178,PC-Gamer
"Lenovo LOQ 15IAX9I, 83FQ003HYA",699.0,https://pc-gamer.me/p/Lenovo-LOQ-15IAX9I-83FQ003HYA--105744,PC-Gamer
DELL Vostro 3440 14 inch FHD+ i5-1334U 16GB 512GB SSD Intel Iris Xe Backlit laptop,705.4,https://pc-gamer.me/p/DELL-Vostro-3440-14-inch-FHD-i5-1334U-16GB-512GB-SSD-Intel-Iris-Xe-Backlit-laptop--106478,PC-Gamer
Asus VivoBook 15 X1504VA-BQ005,709.0,https://pc-gamer.me/p/Asus-VivoBook-15-X1504VA-BQ005--109185,PC-Gamer
Asus Vivobook 15 laptop M1502YA-BQ018,716.0,https://pc-gamer.me/p/Asus-Vivobook-15-laptop-M1502YA-BQ018--107257,PC-Gamer
HP ProBook 450 i5-1334U/512 GB/16GB DDR4 3200MT/s/NoOS/Pike silver aluminum/Backlit/15.6,718.3,https://pc-gamer.me/p/HP-ProBook-450-i5-1334U-512-GB-16GB-DDR4-3200MT-s-NoOS-Pike-silver-aluminum-Backlit-15-6--113047,PC-Gamer
NOT AS Vivobook Flip,719.0,https://pc-gamer.me/p/NOT-AS-Vivobook-Flip--107648,PC-Gamer
Acer A515-58GM-55V7 i5-13420H/16GB/512GB/2050,720.0,https://pc-gamer.me/p/Acer-A515-58GM-55V7-i5-13420H-16GB-512GB-2050--109129,PC-Gamer
Lenovo 83EM00ELYA,727.2,https://pc-gamer.me/p/Lenovo-83EM00ELYA--108408,PC-Gamer
